iter	Passed	Remaining
0	154	153900
1	156	78187
2	159	52947
3	161	40262
4	166	33058
5	171	28442
6	174	24790
7	177	22036
8	180	19841
9	182	18020
10	183	16541
11	185	15294
12	187	14230
13	189	13332
14	190	12526
15	192	11824
16	194	11256
17	196	10700
18	197	10201
19	199	9751
20	200	9348
21	201	8976
22	203	8634
23	204	8323
24	206	8063
25	208	7794
26	209	7547
27	210	7316
28	212	7107
29	213	6913
30	215	6724
31	216	6547
32	217	6380
33	219	6223
34	220	6081
35	221	5943
36	223	5821
37	224	5692
38	225	5566
39	226	5446
40	228	5333
41	229	5234
42	230	5136
43	232	5043
44	233	4950
45	234	4860
46	235	4773
47	236	4690
48	237	4610
49	238	4536
50	239	4462
51	241	4399
52	242	4330
53	243	4264
54	244	4200
55	245	4138
56	246	4083
57	248	4036
58	249	3983
59	250	3929
60	251	3876
61	252	3826
62	253	3776
63	254	3728
64	256	3684
65	257	3639
66	259	3607
67	260	3568
68	261	3529
69	262	3493
70	264	3454
71	265	3420
72	266	3387
73	267	3352
74	269	3318
75	270	3285
76	271	3254
77	272	3224
78	275	3212
79	278	3207
80	280	3178
81	281	3149
82	281	3114
83	284	3103
84	286	3083
85	288	3061
86	289	3036
87	292	3030
88	302	3099
89	304	3083
90	306	3063
91	308	3040
92	309	3017
93	310	2994
94	311	2971
95	316	2978
96	319	2975
97	321	2956
98	322	2937
99	324	2921
100	326	2903
101	328	2889
102	330	2877
103	336	2902
104	338	2885
105	340	2869
106	342	2857
107	345	2851
108	346	2835
109	348	2816
110	349	2797
111	352	2791
112	353	2778
113	355	2765
114	358	2758
115	360	2744
116	361	2726
117	362	2711
118	364	2694
119	365	2679
120	366	2663
121	367	2645
122	370	2639
123	372	2628
124	373	2612
125	374	2597
126	375	2580
127	376	2565
128	378	2555
129	379	2542
130	381	2528
131	382	2514
132	383	2502
133	385	2491
134	386	2477
135	389	2475
136	391	2463
137	392	2450
138	393	2437
139	395	2426
140	396	2414
141	397	2399
142	399	2392
143	400	2383
144	402	2372
145	403	2360
146	404	2348
147	408	2348
148	410	2342
149	411	2331
150	412	2320
151	413	2309
152	415	2298
153	416	2289
154	417	2278
155	419	2267
156	420	2256
157	421	2245
158	422	2233
159	423	2222
160	424	2212
161	427	2209
162	429	2203
163	430	2194
164	434	2196
165	436	2191
166	437	2184
167	439	2175
168	440	2165
169	441	2156
170	444	2152
171	445	2145
172	446	2135
173	448	2126
174	449	2117
175	450	2109
176	451	2101
177	453	2092
178	454	2084
179	455	2075
180	456	2067
181	458	2059
182	459	2051
183	462	2048
184	465	2050
185	467	2045
186	469	2041
187	470	2033
188	472	2026
189	473	2018
190	474	2011
191	476	2004
192	477	1997
193	479	1990
194	482	1991
195	483	1984
196	485	1978
197	486	1971
198	488	1966
199	489	1959
200	491	1952
201	493	1948
202	494	1940
203	495	1934
204	497	1927
205	498	1922
206	500	1916
207	501	1910
208	502	1903
209	504	1896
210	505	1889
211	506	1883
212	507	1876
213	508	1869
214	510	1863
215	511	1857
216	512	1850
217	513	1843
218	515	1837
219	516	1832
220	518	1827
221	519	1821
222	521	1815
223	522	1809
224	523	1802
225	526	1802
226	528	1799
227	529	1793
228	531	1787
229	532	1781
230	533	1775
231	534	1769
232	536	1765
233	538	1761
234	539	1755
235	540	1749
236	541	1743
237	542	1737
238	543	1732
239	545	1726
240	546	1720
241	547	1714
242	548	1708
243	549	1702
244	550	1696
245	551	1690
246	552	1685
247	556	1686
248	557	1681
249	559	1679
250	561	1676
251	562	1670
252	564	1665
253	565	1660
254	566	1654
255	567	1648
256	568	1643
257	569	1638
258	570	1632
259	571	1627
260	573	1624
261	574	1619
262	575	1613
263	577	1608
264	578	1603
265	579	1598
266	580	1593
267	581	1588
268	582	1583
269	583	1578
270	584	1573
271	585	1568
272	586	1563
273	587	1557
274	588	1552
275	591	1550
276	592	1546
277	593	1542
278	595	1537
279	596	1533
280	597	1528
281	598	1524
282	600	1520
283	601	1516
284	602	1511
285	603	1507
286	605	1503
287	606	1498
288	607	1494
289	609	1492
290	610	1488
291	612	1484
292	613	1480
293	614	1475
294	615	1471
295	617	1468
296	618	1464
297	619	1460
298	621	1456
299	622	1451
300	623	1447
301	624	1442
302	625	1438
303	626	1434
304	628	1432
305	629	1428
306	630	1424
307	632	1420
308	633	1415
309	634	1412
310	636	1410
311	637	1406
312	642	1410
313	644	1407
314	645	1403
315	647	1400
316	648	1398
317	650	1394
318	651	1389
319	652	1385
320	653	1383
321	655	1379
322	656	1375
323	657	1371
324	658	1367
325	659	1363
326	660	1359
327	661	1355
328	662	1351
329	665	1350
330	666	1347
331	667	1344
332	669	1340
333	670	1336
334	671	1333
335	672	1329
336	674	1326
337	675	1322
338	676	1318
339	678	1316
340	681	1317
341	685	1319
342	686	1315
343	688	1312
344	689	1308
345	690	1305
346	691	1301
347	692	1297
348	693	1294
349	694	1290
350	695	1286
351	696	1282
352	697	1278
353	698	1274
354	699	1270
355	700	1267
356	702	1265
357	703	1261
358	704	1258
359	705	1255
360	707	1251
361	708	1248
362	709	1245
363	711	1242
364	712	1239
365	713	1236
366	715	1233
367	716	1230
368	717	1227
369	718	1223
370	721	1223
371	722	1220
372	724	1217
373	726	1215
374	727	1213
375	729	1211
376	732	1209
377	734	1208
378	736	1207
379	739	1206
380	740	1203
381	742	1200
382	743	1197
383	744	1194
384	746	1192
385	748	1189
386	749	1186
387	750	1183
388	751	1180
389	752	1177
390	754	1174
391	755	1171
392	756	1168
393	759	1167
394	760	1164
395	761	1161
396	762	1158
397	763	1155
398	765	1153
399	766	1150
400	768	1147
401	769	1144
402	770	1141
403	771	1138
404	772	1135
405	774	1132
406	775	1129
407	777	1127
408	778	1125
409	779	1122
410	780	1119
411	782	1116
412	783	1113
413	784	1110
414	786	1107
415	787	1104
416	788	1102
417	790	1100
418	791	1097
419	792	1094
420	794	1092
421	795	1090
422	797	1087
423	798	1084
424	799	1081
425	800	1079
426	802	1076
427	803	1074
428	808	1075
429	809	1073
430	810	1070
431	813	1069
432	814	1067
433	816	1064
434	817	1061
435	818	1059
436	820	1056
437	821	1054
438	822	1051
439	823	1048
440	825	1046
441	826	1043
442	827	1040
443	828	1037
444	830	1035
445	833	1035
446	834	1032
447	836	1030
448	837	1027
449	839	1025
450	840	1023
451	842	1021
